TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Cheilosia vernalis;Cheilosia vernalis;Yes
Cheilosia vicina;Cheilosia vicina;Yes
Cheilosia vulpina;Cheilosia vulpina;Yes
Cheilosia acutilabris;Cheilosia acutilabris;No
Cheilosia aerea;Cheilosia aerea;Yes
Cheilosia aerea;Cheilosia aerea;Yes
Cheilosia aff fraterna;-;No
Cheilosia aff. balkana;-;No
Cheilosia aff. caerulescens;-;No
Cheilosia aff. fraterna;-;No
Cheilosia aff. gigantea;-;No
Cheilosia aff. grisella;-;No
Cheilosia aff. impressa;-;No
Cheilosia aff. leaviseta;-;No
Cheilosia aff. lenis;-;No
Cheilosia aff. morio;-;No
Cheilosia aff. urbana;-;No
Cheilosia aff. vernale;-;No
Cheilosia ahenea;Cheilosia ahenea;Yes
Cheilosia alba;Cheilosia alba;Yes
Cheilosia albipila;Cheilosia albipila;Yes
Cheilosia albipila;Cheilosia albipila;Yes
Cheilosia albipilla;Cheilosia albipila;Yes
Cheilosia albitarsis;Cheilosia albitarsis;Yes
Cheilosia albitarsis ??;-;No
Cheilosia albitarsis/ranunc;-;No
Cheilosia alpestris;Cheilosia alpestris;Yes
Cheilosia alpina;Cheilosia alpina;Yes
Cheilosia andalusiaca;Cheilosia andalusiaca;Yes
Cheilosia angustigena;Cheilosia angustigenis;Yes
Cheilosia angustigenis;Cheilosia angustigenis;Yes
Cheilosia antiqua;Cheilosia antiqua;Yes
Cheilosia aristata;Cheilosia aristata;Yes
Cheilosia bakurianiesis;Cheilosia bakurianiesis;No
Cheilosia balkana;Cheilosia balkana;Yes
Cheilosia barbafacies;Cheilosia barbafacies;Yes
Cheilosia barbata;Cheilosia barbata;Yes
Cheilosia barovskii;Cheilosia barovskii;No
Cheilosia beckeri;Cheilosia beckeri;Yes
Cheilosia bergenstammi;Cheilosia bergenstammi;Yes
Cheilosia bergestammi;Cheilosia bergenstammi;Yes
Cheilosia brachysoma;Cheilosia brachysoma;Yes
Cheilosia bracusi;Cheilosia bracusi;Yes
Cheilosia brunnipennis;Cheilosia brunnipennis;Yes
Cheilosia caerulescens;Cheilosia caerulescens;Yes
Cheilosia candida;Cheilosia candida;Yes
Cheilosia canicularis;Cheilosia canicularis;Yes
Cheilosia carbonaria;Cheilosia carbonaria;Yes
Cheilosia cf. mutabilis;-;No
Cheilosia cf. rhynchops;-;No
Cheilosia chloris;Cheilosia chloris;Yes
Cheilosia chlorus;Cheilosia chloris;Yes
Cheilosia chrysocoma;Cheilosia chrysocomus;Yes
Cheilosia clama;Cheilosia clama;Yes
Cheilosia clara;-;No
Cheilosia clausseni;Cheilosia clausseni;Yes
Cheilosia coerulescens;Cheilosia caerulescens;Yes
Cheilosia crassiseta;Cheilosia crassiseta;Yes
Cheilosia cumanica;Cheilosia cumanica;Yes
Cheilosia cynocephala;Cheilosia cynocephala;Yes
Cheilosia derasa;Cheilosia derasa;Yes
Cheilosia fasciata;Cheilosia fasciata;Yes
Cheilosia faucis;Cheilosia faucis;Yes
Cheilosia flavipes;Cheilosia flavipes;Yes
Cheilosia flavissima;Cheilosia flavissima;Yes
Cheilosia fraterna;Cheilosia fraterna;Yes
Cheilosia fraterna;Cheilosia fraterna;Yes
Cheilosia frontalis;Cheilosia frontalis;Yes
Cheilosia frontalis ?;-;No
Cheilosia frontalis;Cheilosia frontalis;Yes
Cheilosia gagatea;Cheilosia gagatea;Yes
Cheilosia gigantea;Cheilosia gigantea;Yes
Cheilosia gigantea ?;-;No
Cheilosia griseifacies;Cheilosia griseifacies;Yes
Cheilosia griseiventris;Cheilosia griseiventris;Yes
Cheilosia grisella;Cheilosia grisella;Yes
Cheilosia grisella + aff gr;-;No
Cheilosia grossa;Cheilosia grossa;Yes
Cheilosia herculana;Cheilosia herculana;Yes
Cheilosia hercyniae;Cheilosia hercyniae;Yes
Cheilosia himantopa;Cheilosia himantopus;Yes
Cheilosia himantopus;Cheilosia himantopus;Yes
Cheilosia horticola;-;No
Cheilosia hypena;Cheilosia hypena;Yes
Cheilosia iberica;Cheilosia iberica;Yes
Cheilosia igerae;Cheilosia ingerae;Yes
Cheilosia illustrata;Cheilosia illustrata;Yes
Cheilosia impressa;Cheilosia impressa;Yes
Cheilosia impudens;Cheilosia impudens;Yes
Cheilosia indet;-;No
Cheilosia ingerae;Cheilosia ingerae;Yes
Cheilosia insignis;Cheilosia insignis;Yes
Cheilosia intonsa;Cheilosia latifrons;Yes
Cheilosia katara;Cheilosia katara;Yes
Cheilosia kerteszi;Cheilosia kerteszi;Yes
Cheilosia kuznetzovae;Cheilosia gorodkovi;Yes
Cheilosia laeviseta;Cheilosia laeviseta;Yes
Cheilosia laeviventris;Cheilosia laeviventris;Yes
Cheilosia lasiopa;Cheilosia lasiopa;Yes
Cheilosia laticornis;Cheilosia laticornis;Yes
Cheilosia laticornis mn is;-;No
Cheilosia latifacies;Cheilosia laticornis;Yes
Cheilosia latifrons;Cheilosia latifrons;Yes
Cheilosia latigenis;Cheilosia latigenis;Yes
Cheilosia leaviventris;Cheilosia laeviventris;Yes
Cheilosia lenis;Cheilosia lenis;Yes
Cheilosia lenta;Cheilosia lenta;Yes
Cheilosia limbicornis;Cheilosia limbicornis;Yes
Cheilosia loewi;Cheilosia loewi;Yes
Cheilosia longula;Cheilosia longula;Yes
Cheilosia luteicornis;Cheilosia luteicornis;Yes
Cheilosia maculata;Portevinia maculata;Yes
Cheilosia marginata;Cheilosia marginata;Yes
Cheilosia Meigen,;-;No
Cheilosia melanopa;Cheilosia melanopa;Yes
Cheilosia melanura;Cheilosia melanura;Yes
Cheilosia melanura rubra;Cheilosia melanura;Yes
Cheilosia minori;-;No
Cheilosia montana;Cheilosia montana;Yes
Cheilosia morio;Cheilosia morio;Yes
Cheilosia mutabilis;Cheilosia mutabilis;Yes
Cheilosia narusca;Cheilosia naruska;Yes
Cheilosia naruska;Cheilosia naruska;Yes
Cheilosia nasutula;Cheilosia vicina;Yes
Cheilosia nebulosa;Cheilosia nebulosa;Yes
Cheilosia nigripes;Cheilosia nigripes;Yes
Cheilosia nigro spec;-;No
Cheilosia nivalis;Cheilosia nivalis;Yes
Cheilosia noa;-;No
Cheilosia not indet V Mutin;-;No
Cheilosia nr bergenstammi;-;No
Cheilosia nr fraterna;-;No
Cheilosia nr intonsa;-;No
Cheilosia nr melanura;-;No
Cheilosia orthotricha;Cheilosia orthotricha;Yes
Cheilosia pagana;Cheilosia paganus;Yes
Cheilosia paralobi;Cheilosia paralobi;Yes
Cheilosia pascuorum;Cheilosia pascuorum;Yes
Cheilosia pedemontana;Cheilosia pedemontana;Yes
Cheilosia pedestris;Cheilosia pedestris;Yes
Cheilosia personata;Cheilosia personata;Yes
Cheilosia pictipennis;Cheilosia pictipennis;Yes
Cheilosia pilifer;Cheilosia pilifer;Yes
Cheilosia pini;Cheilosia pini;Yes
Cheilosia praecox;Cheilosia urbana;Yes
Cheilosia proxima;Cheilosia proxima;Yes
Cheilosia proxima;Cheilosia proxima;Yes
Cheilosia psilophthalma;Cheilosia psilophthalma;Yes
Cheilosia psilopthalma;Cheilosia psilophthalma;Yes
Cheilosia pubera;Cheilosia pubera;Yes
Cheilosia ranunculi;Cheilosia ranunculi;Yes
Cheilosia recens;Cheilosia vicina;Yes
Cheilosia redi;Cheilosia redi;Yes
Cheilosia redi;Cheilosia redi;Yes
Cheilosia reniformis;Cheilosia reniformis;Yes
Cheilosia rhynchops;Cheilosia rhynchops;Yes
Cheilosia rhynchops/carbona;-;No
Cheilosia rodgersi;Cheilosia rodgersi;Yes
Cheilosia ruffipes;Cheilosia ruffipes;Yes
Cheilosia ruficollis;Cheilosia vernalis;Yes
Cheilosia rufimana;Cheilosia rufimana;Yes
Cheilosia rufipes;Cheilosia ruffipes;Yes
Cheilosia ruralis;Cheilosia urbana;Yes
Cheilosia sahlbergi;Cheilosia sahlbergi;Yes
Cheilosia samosi;-;No
Cheilosia sareptana;Cheilosia brunnipennis;Yes
Cheilosia scanica;Cheilosia morio;Yes
Cheilosia schnabli;Cheilosia schnabli;Yes
Cheilosia scutellaris;Cheilosia scutellata;Yes
Cheilosia scutellata;Cheilosia scutellata;Yes
Cheilosia semifasciata;Cheilosia semifasciata;Yes
Cheilosia sibirica;Cheilosia sibirica;No
Cheilosia sichotana;Cheilosia sichotana;No
Cheilosia siciliana;-;No
Cheilosia sootryeni;Cheilosia sootryeni;Yes
Cheilosia soror;Cheilosia ruffipes;Yes
Cheilosia sp;-;No
Cheilosia sp.;-;No
Cheilosia spec;-;No
Cheilosia spec nov cf urban;-;No
Cheilosia spec.;-;No
Cheilosia spec. nov.;-;No
Cheilosia subpictipennis;Cheilosia subpictipennis;Yes
Cheilosia tarditas;Cheilosia scutellata;Yes
Cheilosia thessala;Cheilosia thessala;Yes
Cheilosia tonsa;Cheilosia tonsa;Yes
Cheilosia urakawensis;Cheilosia urakawensis;No
Cheilosia urbana;Cheilosia urbanus;Yes
Cheilosia urbana;Cheilosia urbanus;Yes
Cheilosia uviformis;Cheilosia uviformis;Yes
Cheilosia vangaveri;Cheilosia vangaveri;Yes
Cheilosia variabilis;Cheilosia variabilis;Yes
Cheilosia varnensis;Cheilosia varnensis;Yes
Cheilosia velutina;Cheilosia velutina;Yes
Cheilosia venosa;Cheilosia venosa;Yes
Cheilosia vernalis;Cheilosia vernalis;Yes
Cheilosia vicina;Cheilosia vicina;Yes
Cheilosia vujici;Cheilosia vujici;Yes
Cheilosia vulpina;Cheilosia vulpina;Yes
Cheilosia vulpina;Cheilosia vulpina;Yes
Chrysogaster;-;No
Chrysogaster solstitialis;Chrysogaster solstitialis;Yes
Chrysogaster solstitialis;Chrysogaster solstitialis;Yes
Chrysogaster aerosa;Melanogaster aerosa;Yes
Chrysogaster basalis;Chrysogaster basalis;Yes
Chrysogaster cautum;Chrysotoxum cautum;Yes
Chrysogaster cemiteriorum;Chrysogaster cemiteriorum;Yes
