TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Merodon Meigen,;-;No
Merodon Merodon avidus;-;No
Merodon minutus;Merodon minutus;Yes
Merodon moenium;Merodon moenium;Yes
Merodon moenium ?;-;No
Merodon moesiacus;Merodon moesiacus;No
Merodon nanus;Merodon nanus;Yes
Merodon natans;Merodon natans;Yes
Merodon naxius;Merodon naxius;Yes
Merodon neofasciatus;Merodon neofasciatus;Yes
Merodon neolydicus;Merodon neolydicus;Yes
Merodon neonanus;Merodon neonanus;Yes
Merodon nigritarsis;Merodon nigritarsis;Yes
Merodon nigritarsis complex;-;No
Merodon nisi;Merodon nisi;Yes
Merodon nitens;Merodon nitens;Yes
Merodon nr saphous;-;No
Merodon obscuritarsis;Merodon obscuritarsis;Yes
Merodon olympius;Merodon olympius;Yes
Merodon olympusi sp. nova;Merodon olympius;Yes
Merodon opacus;Merodon opacus;Yes
Merodon orjensis;Merodon orjensis;Yes
Merodon oromediterraneus;Merodon oromediterraneus;No
Merodon ottomanus;Merodon ottomanus;Yes
Merodon paeninsula;-;No
Merodon papillus;Merodon papillus;Yes
Merodon parietum;Merodon parietum;Yes
Merodon paulum;Merodon minutus;Yes
Merodon peloponnesius;Merodon peloponnesius;Yes
Merodon planiceps;Merodon planiceps;Yes
Merodon planiceps ?;-;No
Merodon planifacies-greska;-;No
Merodon pruni;Merodon pruni;Yes
Merodon pseudomoenium;Merodon pseudomoenium;No
Merodon pulveris;Merodon pulveris;Yes
Merodon pumilus;Merodon pumilus;Yes
Merodon puniceus;Merodon puniceus;Yes
Merodon quercetorum;Merodon quercetorum;Yes
Merodon rasicus;Merodon rasicus;Yes
Merodon robeus sp. nova;-;No
Merodon robustus;Merodon robustus;Yes
Merodon rojoi;Merodon rojoi;Yes
Merodon rubidiventris;Merodon rubidiventris;Yes
Merodon ruficornis;Merodon ruficornis;Yes
Merodon rufipes;Merodon rufipes;Yes
Merodon rufus;Merodon rufus;Yes
Merodon sacki;Merodon sacki;Yes
Merodon sapphous;Merodon sapphous;Yes
Merodon sardiniensis;Merodon aerarius;Yes
Merodon segetum;Merodon segetum;Yes
Merodon serrulatus;Merodon serrulatus;Yes
Merodon setosus;Platynochaetus setosus;Yes
Merodon sp;-;No
Merodon sp.;-;No
Merodon sp. nova 1 (Azerbej;-;No
Merodon sp. nova ex biarcua;-;No
Merodon sp. nova Sicilia;-;No
Merodon sp.5;-;No
Merodon spec.;-;No
Merodon spec. near aeneus;-;No
Merodon spineus;Merodon spineus;Yes
Merodon spinipes;Merodon obscuritarsis;Yes
Merodon spinitarsis;Merodon spinitarsis;Yes
Merodon subiliricus;-;No
Merodon subnigrum;Merodon bessarabicus;Yes
Merodon telmateia;Merodon telmateia;Yes
Merodon teruelensis;Merodon teruelensis;Yes
Merodon testaceus;Merodon testaceus;Yes
Merodon testaceus?;-;No
Merodon toscanus;Merodon toscanus;Yes
Merodon trebevicensis;Merodon trebevicensis;Yes
Merodon triangulum;Merodon triangulum;Yes
Merodon tricinctus;-;No
Merodon trochantericus;Merodon trochantericus;Yes
Merodon unguicornis;Merodon unguicornis;Yes
Merodon unicolor;Merodon unicolor;Yes
Merodon velox;Merodon velox;Yes
Merodon virgatus;Merodon virgatus;Yes
Merodon vladimiri;Merodon vladimiri;Yes
Mesembrius;-;No
Mesembrius peregrinus;Mesembrius peregrinus;Yes
Mesembrius peregrinus;Mesembrius peregrinus;Yes
Metasyrphus corollae;Eupeodes corollae;Yes
Metasyrphus luniger;Eupeodes luniger;Yes
Microdon;-;No
Microdon miki;Microdon miki;Yes
Microdon mutabilis/myrmica;-;No
Microdon analis;Microdon analis;Yes
Microdon constans;-;No
Microdon devius;Microdon devius;Yes
Microdon eggeri;Microdon analis;Yes
Microdon latifrons;Microdon analis;Yes
Microdon major;Microdon major;Yes
Microdon major/analis;-;No
Microdon Meigen,;-;No
Microdon miki;Microdon miki;Yes
Microdon mutabilis;Microdon mutabilis;Yes
Microdon mutabilis sl;-;No
Microdon mutabilis/myrmicae;-;No
Microdon myrmicae;Microdon myrmicae;Yes
Microdon sp;-;No
Microdon sp.;-;No
Microdon spec aff lateus;-;No
Milesia crabroniformis;Milesia crabroniformis;Yes
Milesia botti;Milesia cretica;Yes
Milesia crabroniformis;Milesia crabroniformis;Yes
Milesia cretica;Milesia crabroniformis;Yes
Milesia semiluctifera;Milesia semiluctifera;Yes
Myathropa florea;Myathropa florea;Yes
Myathropa florea;Myathropa florea;Yes
Myathropa Rondani,;-;No
Myathropa usta;Myathropa usta;Yes
Myatropa florea;Myathropa florea;Yes
Myatropa florea;Myathropa florea;Yes
Myiolepta vara;Myolepta vara;Yes
Myolepta;-;No
Myolepta obscura;Myolepta obscura;Yes
Myolepta obscura;Myolepta obscura;Yes
Myolepta vara;Myolepta vara;Yes
Myolepta difformis;Myolepta difformis;Yes
Myolepta dubia;Myolepta dubia;Yes
Myolepta luteola;Myolepta dubia;Yes
Myolepta nigritarsis;Myolepta nigritarsis;Yes
Myolepta obscura;Myolepta obscura;Yes
Myolepta potens;Myolepta potens;Yes
Myolepta sp;-;No
Myolepta spec.;-;No
Myolepta trojana;Myolepta trojana;Yes
Myolepta vara;Myolepta vara;Yes
Neoascia;-;No
Neoascia podagrica;Neoascia podagrica;Yes
Neoascia tenur;Neoascia tenur;Yes
Neoascia annexa;Neoascia annexa;Yes
Neoascia meticulosa;Neoascia meticulosa;Yes
Neoascia podagrica;Neoascia podagrica;Yes
Neoascia tenur;Neoascia tenur;Yes
Neoascia aenea;Neoascia meticulosa;Yes
Neoascia aenea (meticulosa);Neoascia meticulosa;Yes
Neoascia annexa;Neoascia annexa;Yes
Neoascia balearensis;Neoascia balearensis;Yes
Neoascia dispar;Neoascia meticulosa;Yes
Neoascia dispar (tenur);Neoascia meticulosa;Yes
Neoascia floralis;Neoascia geniculata;Yes
Neoascia geniculata;Neoascia geniculata;Yes
Neoascia interrupta;Neoascia interrupta;Yes
Neoascia meticulosa;Neoascia meticulosa;Yes
Neoascia obliqua;Neoascia obliqua;Yes
Neoascia podagrica;Neoascia podagrica;Yes
Neoascia sp.;-;No
Neoascia subannexa;Neoascia subannexa;No
Neoascia subchalybea;Neoascia subchalybea;Yes
Neoascia tenur;Neoascia tenur;Yes
Neoascia unifasciata;Neoascia unifasciata;Yes
Neoascia Williston,;-;No
Neocnemodon;-;No
Neocnemodon brevidens;Neocnemodon brevidens;Yes
Neocnemodon fluvimanus;Neocnemodon fulvimanus;Yes
Neocnemodon fulvimanus;Neocnemodon fulvimanus;Yes
Neocnemodon Goffe,;-;No
Neocnemodon larusi;Neocnemodon larusi;Yes
Neocnemodon latitarsis;Neocnemodon latitarsis;Yes
Neocnemodon pubescens;Neocnemodon pubescens;Yes
Neocnemodon sp;-;No
Neocnemodon sp.;-;No
Neocnemodon spec.;-;No
Neocnemodon spp.;-;No
Neocnemodon verrucula;Neocnemodon verrucula;Yes
Neocnemodon vitripennis;Neocnemodon vitripennis;Yes
Neocnomedon latitarsis;Neocnemodon latitarsis;Yes
Neocnomedon pubescens;Neocnemodon pubescens;Yes
Neocnomedon verrucula;Neocnemodon verrucula;Yes
Neocnomedon vitripennis;Neocnemodon vitripennis;Yes
Nigrocheilosia;-;No
Olbiosyrphus laetus;Philhelius laetus;Yes
Orthone5.ra stackelbergi;Orthonevra stackelbergi;Yes
Orthonevra;-;No
Orthonevra brevicornis;Orthonevra brevicornis;Yes
Orthonevra brevicornis;Orthonevra brevicornis;Yes
Orthonevra geniculata;Orthonevra geniculata;Yes
Orthonevra nobilis;Orthonevra nobilis;Yes
Orthonevra tristis;Orthonevra tristis;Yes
Orthonevra abdullahi;-;No
Orthonevra arcana;Orthonevra arcana;Yes
Orthonevra brevicornis;Orthonevra brevicornis;Yes
Orthonevra daccordii;Riponnensia daccordii;Yes
Orthonevra elegans;Orthonevra elegans;Yes
Orthonevra erythrogona;Orthonevra erythrogona;Yes
Orthonevra frontalis;Orthonevra frontalis;Yes
Orthonevra gemmula;Orthonevra gemmula;Yes
Orthonevra geniculata;Orthonevra geniculata;Yes
Orthonevra incisa;Orthonevra incisa;Yes
Orthonevra intermedia;Orthonevra intermedia;Yes
Orthonevra longicornis;Ripponensia longicornis;Yes
Orthonevra Macquart,;-;No
Orthonevra montana;Orthonevra montana;Yes
Orthonevra morini;Ripponensia morini;Yes
Orthonevra nobilis;Orthonevra nobilis;Yes
Orthonevra onytes;Orthonevra tristis;Yes
Orthonevra plumbago;Orthonevra plumbago;Yes
Orthonevra shusteri;Orthonevra shusteri;Yes
Orthonevra sp n ?;-;No
Orthonevra spec.;-;No
Orthonevra splendens;Ripponensia splendens;Yes
Orthonevra stackelbergi;Orthonevra stackelbergi;Yes
Orthonevra tristis;Orthonevra tristis;Yes
Palumbia eristaloides;Palumbia bellieri;Yes
Palumbia flavipes (eristalo;-;No
Paragus;-;No
Paragus haemorrhous;Paragus haemorrhous;Yes
Paragus pecchiolii;Paragus haemorrhous;Yes
Paragus absidatus;Paragus pecchiolii;Yes
Paragus albifrons;Paragus albifrons;Yes
Paragus bicolor;Paragus bicolor;Yes
Paragus haemorrhous;Paragus haemorrhous;Yes
Paragus pecchiolii;Paragus pecchiolii;Yes
Paragus punctulatus;Paragus punctulatus;Yes
Paragus quadrifasciatus;Paragus quadrifasciatus;Yes
Paragus tibialis;Paragus tibialis;Yes
Paragus ? albifrons;-;No
Paragus abrogans;Paragus abrogans;No
Paragus absidatus;Paragus absidatus;Yes
Paragus albifrons;Paragus albifrons;Yes
Paragus albipes;Paragus albipes;Yes
Paragus antoinettae;Paragus bradescui;Yes
Paragus ascoensis;Paragus ascoensis;Yes
Paragus atlasi;Paragus atlasi;No
Paragus azureus;Paragus azureus;No
Paragus bicolor;Paragus bicolor;Yes
Paragus bicolor;Paragus bicolor;Yes
Paragus bradescui;Paragus bradescui;Yes
Paragus cf haemorrhous;-;No
Paragus cinctus;Paragus cinctus;Yes
Paragus coadunatus;Paragus coadunatus;Yes
Paragus compeditus;Paragus compeditus;Yes
Paragus constrictus;Paragus constrictus;Yes
Paragus faesi;-;No
Paragus finitimus;Paragus finitimus;Yes
Paragus flameus;Paragus flammeus;Yes
Paragus flammeus;Paragus flammeus;Yes
Paragus glumaci;Paragus glumaci;Yes
Paragus gorgus;Paragus majoranae;Yes
Paragus haemorrhous;Paragus haemorrhous;Yes
Paragus hermonensis;Paragus hermonensis;Yes
Paragus hyalopteri;Paragus hyalopteri;Yes
Paragus intermedium sp.n.;-;No
Paragus kopdagensis;Paragus kopdagensis;Yes
Paragus Latreille,;-;No
Paragus leleji;-;No
Paragus majoranae;Paragus majoranae;Yes
Paragus medeae;Paragus medeae;Yes
Paragus oltenicus;Paragus oltenicus;Yes
Paragus pecchilolii;Paragus pecchiolii;Yes
Paragus pecchioli;Paragus pecchiolii;Yes
Paragus pecchiolii;Paragus pecchiolii;Yes
Paragus pecchiolii/quadrifa;-;No
Paragus pechioli;Paragus pecchiolii;Yes
Paragus pechiolii;Paragus pecchiolii;Yes
Paragus punctulatus;Paragus punctulatus;Yes
Paragus quadrifasciatus;Paragus quadrifasciatus;Yes
Paragus quadrimaculata;-;No
Paragus rarus;Paragus rarus;No
Paragus rarus ?;-;No
Paragus romanicus;Paragus bicolor;Yes
Paragus scutatus?;-;No
Paragus sexarcuatus;Paragus sexarcuatus;Yes
Paragus sigillatus;Paragus haemorrhous;Yes
Paragus sp;-;No
Paragus sp.;-;No
Paragus sp1;-;No
Paragus sp2;-;No
Paragus spec.;-;No
Paragus strigatus;Paragus strigatus;Yes
Paragus testaceus;Paragus testaceus;Yes
Paragus thracusi;Paragus thracusi;Yes
Paragus tibialis;Paragus tibialis;Yes
Paragus tibialis?;-;No
Paragus vandergooti;Paragus vandergooti;Yes
Paragus xinyuanensis;Paragus hyalopteri;Yes
Parasyrphus;-;No
Parasyrphus nigritarsis;Parasyrphus nigritarsis;Yes
Parasyrphus punctulatus;Parasyrphus punctulatus;Yes
Parasyrphus relictus;Parasyrphus relictus;Yes
Parasyrphus aff. lineola;-;No
Parasyrphus annulatus;Parasyrphus annulatus;Yes
Parasyrphus groenlandica;Parasyrphus groenlandicus;Yes
Parasyrphus groenlandicus;Parasyrphus groenlandicus;Yes
Parasyrphus lineola;Parasyrphus lineola;Yes
Parasyrphus lineolus;Parasyrphus lineola;Yes
Parasyrphus macularis;Parasyrphus macularis;Yes
Parasyrphus malinellus;Parasyrphus malinellus;Yes
Parasyrphus malinellus ?;-;No
Parasyrphus Matsumura,;-;No
Parasyrphus nigritarsis;Parasyrphus nigritarsis;Yes
Parasyrphus proximus;Parasyrphus proximus;Yes
Parasyrphus punctulatus;Parasyrphus punctulatus;Yes
Parasyrphus relictus;Parasyrphus relictus;Yes
Parasyrphus sp;-;No
Parasyrphus sp ?;-;No
Parasyrphus sp.;-;No
Parasyrphus spec;-;No
Parasyrphus tarsatus;Parasyrphus tarsatus;Yes
Parasyrphus unifasciatus;-;No
Parasyrphus vittiger;Parasyrphus relictus;Yes
Parchelophilus versicolor;Parhelophilus versicolor;Yes
Parhelophilus;-;No
Parhelophilus frutetorum;Parhelophilus frutetorum;Yes
Parhelophilus frutetorum;Parhelophilus frutetorum;Yes
Parhelophilus consimilis;Parhelophilus consimilis;Yes
Parhelophilus crococoronatu;Parhelophilus crococoronatus;Yes
Parhelophilus crocoronatus;Parhelophilus crococoronatus;Yes
Parhelophilus frutetorum;Parhelophilus frutetorum;Yes
Parhelophilus Girschner,;-;No
Parhelophilus sibiricus;Parhelophilus sibiricus;No
Parhelophilus spec.;-;No
Parhelophilus versicolor;Parhelophilus versicolor;Yes
Pelecocera;-;No
Pelecocera scaevoides;Pelecocera scaevoides;Yes
Pelecocera caledonica;Pelecocera caledonica;Yes
Pelecocera hederae;Pelecocera hederae;Yes
Pelecocera latifrons;Pseudopelecocera latifrons;Yes
Pelecocera lugubris;Pelecocera lusitanica;Yes
Pelecocera lusitanica;Pelecocera lusitanica;Yes
Pelecocera pruinosomaculata;Pelecocera pruinosomaculata;Yes
Pelecocera scae5.oides;Pelecocera scaevoides;Yes
Pelecocera scaevoides;Pelecocera scaevoides;Yes
Pelecocera tricincta;Pelecocera tricincta;Yes
Philhelius citrofasciatum;Philhelius citrofasciatus;Yes
Philhelius dives;Philhelius dives;Yes
Philhelius laetum;Philhelius laetus;Yes
Philhelius marginale;Philhelius marginalis;Yes
Philhelius pedissequum;Philhelius pedissequus;Yes
Philhelius pedissequus;Philhelius pedissequus;Yes
Philhelius stackelbergi;Philhelius stackelbergi;Yes
Pipiza;-;No
Pipiza noctiluca;Pipiza noctiluca;Yes
Pipiza fasciata;Pipiza fasciata;Yes
Pipiza festiva;Pipiza festiva;Yes
Pipiza noctiluca;Pipiza noctiluca;Yes
Pipiza notata;Pipiza notata;Yes
Pipiza accola;Pipiza accola;Yes
Pipiza aff. bimaculata;-;No
Pipiza austriaca;Pipiza austriaca;Yes
Pipiza bimaculata;Pipiza notata;Yes
Pipiza carbonaria;Pipiza carbonaria;Yes
Pipiza Fall̩n,;-;No
Pipiza fasciata;Pipiza fasciata;Yes
Pipiza fenestrata;Pipiza noctiluca;Yes
Pipiza fesciata;Pipiza fasciata;Yes
Pipiza festiva;Pipiza festiva;Yes
Pipiza 'festiva';-;No
Pipiza laurusi;Pipiza laurusi;Yes
Pipiza lugubris;Pipiza lugubris;Yes
Pipiza luteibarba;Pipiza luteibarba;Yes
Pipiza luteitarsis;Pipiza luteitarsis;Yes
Pipiza maculata;Pipiza quadrimaculata;Yes
Pipiza noctiluca;Pipiza noctiluca;Yes
Pipiza noctiluca complex;-;No
Pipiza noctiluca/notata;-;No
Pipiza notata;Pipiza notata;Yes
Pipiza notata/noctiluca;-;No
Pipiza quadrimaculata;Pipiza quadrimaculata;Yes
Pipiza signata;Pipiza lugubris;Yes
Pipiza sp;-;No
Pipiza sp.;-;No
Pipiza spec.;-;No
Pipizella;-;No
Pipizella annulata;Pipizella annulata;Yes
Pipizella bispina;Pipizella bispina;Yes
Pipizella calabra;Pipizella calabra;Yes
Pipizella divicoi;Pipizella divicoi;Yes
Pipizella maculipennis;Pipizella maculipennis;Yes
Pipizella nigriana;Pipizella nigriana;Yes
Pipizella pennina;Pipizella pennina;Yes
Pipizella speighti;Pipizella speighti;Yes
Pipizella viduata;Pipizella viduata;Yes
Pipizella virens;Pipizella virens;Yes
Pipizella zeneggenensis;Pipizella zeneggenensis;Yes
Pipizella annulata;Pipizella annulata;Yes
Pipizella bispina;Pipizella bispina;Yes
Pipizella brevis;Pipizella brevis;Yes
Pipizella calabra;Pipizella calabra;Yes
Pipizella callabra;Pipizella calabra;Yes
Pipizella cantabrica;Pipizella cantabrica;Yes
Pipizella certa;Pipizella certa;Yes
Pipizella divicoi;Pipizella divicoi;Yes
Pipizella elegantissima;Pipizella elegantissima;Yes
Pipizella indet.;-;No
Pipizella lyneborgi;Pipizella lyneborgi;Yes
Pipizella maculipennis;Pipizella maculipennis;Yes
Pipizella mongolorum;Pipizella mongolorum;Yes
Pipizella nigriana;Pipizella nigriana;Yes
Pipizella noctiluca;Pipiza noctiluca;Yes
Pipizella obscura;Pipizella obscura;Yes
Pipizella pennina;Pipizella pennina;Yes
Pipizella Rondani,;-;No
Pipizella siciliana;Pipizella siciliana;Yes
Pipizella sp;-;No
Pipizella sp.;-;No
Pipizella spec;-;No
Pipizella spec.;-;No
Pipizella speighti;Pipizella speighti;Yes
Pipizella speighti/viduata;-;No
Pipizella speighti?;-;No
Pipizella spp.;-;No
Pipizella varipes;Pipizella viduata;Yes
Pipizella viduata;Pipizella viduata;Yes
Pipizella virens;Pipizella virens;Yes
Pipizella zeneggenensis;Pipizella zeneggenensis;Yes
Pipizella zloti;Pipizella zloti;Yes
Pipizzela maculipennis;Pipizella maculipennis;Yes
Pipizzela zeneggenensis;Pipizella zeneggenensis;Yes
Platicheirus fulviventris;Platycheirus fulviventris;Yes
Platycheirus;-;No
Platycheirus albimanus;Platycheirus albimanus;Yes
Platycheirus ambiguus;Platycheirus ambiguus;Yes
Platycheirus angustatus;Platycheirus angustatus;Yes
Platycheirus angustipes;Platycheirus angustipes;Yes
Platycheirus europeus;Platycheirus europaeus;Yes
Platycheirus immaculatus;Platycheirus immaculatus;Yes
Platycheirus manicatus;Platycheirus manicatus;Yes
Platycheirus occultus;Platycheirus occultus;Yes
Platycheirus scutatus;Platycheirus scutatus;Yes
Platycheirus tarsalis;Platycheirus tarsalis;Yes
Platycheirus tatricus;Platycheirus tatricus;Yes
Platycheirus transfugus;Platycheirus transfugus;Yes
Platycheirus ? peltatus;-;No
Platycheirus abruzzensis;Platycheirus abruzzensis;Yes
Platycheirus aeratus;Platycheirus aeratus;Yes
Platycheirus aff. tarsalis;-;No
Platycheirus albimanus;Platycheirus albimanus;Yes
Platycheirus albimanus cf;-;No
Platycheirus albitarsis;Platycheirus albimanus;Yes
Platycheirus altomontis;Platycheirus altomontis;Yes
Platycheirus ambiguum;Platycheirus ambiguus;Yes
Platycheirus ambiguus;Platycheirus ambiguus;Yes
Platycheirus ambiguus groep;-;No
Platycheirus amplus;Platycheirus amplus;Yes
Platycheirus angustatus;Platycheirus angustatus;Yes
Platycheirus angustipes;Platycheirus angustipes;Yes
Platycheirus angustitarsis;Platycheirus aeratus;Yes
Platycheirus argentatus;Platycheirus varipes;Yes
Platycheirus aurolateralis;Platycheirus aurolateralis;Yes
Platycheirus boreomontanum;Platycheirus groenlandicus;Yes
Platycheirus brunnifrons;Platycheirus brunnifrons;Yes
Platycheirus caesius;Platycheirus caesius;Yes
Platycheirus chilosia;Platycheirus chilosia;Yes
Platycheirus ciliatus;Platycheirus ciliatus;Yes
Platycheirus cintoensis;Platycheirus cintoensis;Yes
Platycheirus clausseni;Platycheirus clausseni;Yes
Platycheirus clypeatus;Platycheirus clypeatus;Yes
Platycheirus coerulescens;Platycheirus coerulescens;No
Platycheirus complicatus;Platycheirus complicatus;Yes
Platycheirus cyaneus;Platycheirus albimanus;Yes
Platycheirus discimanus;Platycheirus discimanus;Yes
Platycheirus europaeus;Platycheirus europaeus;Yes
Platycheirus europeus;Platycheirus europaeus;Yes
Platycheirus fasciculatus;Platycheirus fasciculatus;Yes
Platycheirus fulviventris;Platycheirus fulviventris;Yes
Platycheirus goeldlini;Platycheirus goeldlini;Yes
Platycheirus granditarsa;Pyrophaena granditarsa;Yes
Platycheirus granditarsis;Pyrophaena granditarsa;Yes
Platycheirus groenlandicus;Platycheirus groenlandicus;Yes
Platycheirus hirtipes;Platycheirus carinatus;Yes
Platycheirus holarcticus;Platycheirus naso;Yes
Platycheirus hyperboreus;Platycheirus hyperboreus;Yes
Platycheirus immaculatus;Platycheirus immaculatus;Yes
Platycheirus immarginatus;Platycheirus immarginatus;Yes
Platycheirus intersexe;-;No
Platycheirus islandicus;Platycheirus islandicus;Yes
Platycheirus jaerensis;Platycheirus jaerensis;Yes
Platycheirus kittilaensis;Platycheirus kittilaensis;Yes
Platycheirus laskai;Platycheirus laskai;Yes
Platycheirus latimanus;Platycheirus latimanus;Yes
Platycheirus Lepeletier;-;No
Platycheirus lundbecki;Platycheirus lundbecki;Yes
Platycheirus magadanensis;Platycheirus magadanensis;Yes
Platycheirus manicatus;Platycheirus manicatus;Yes
Platycheirus melanopsis;Platycheirus melanopsis;Yes
Platycheirus melanopsis c.f;-;No
Platycheirus meridimontanus;Platycheirus meridimontanus;Yes
Platycheirus modestus;Platycheirus modestus;Yes
Platycheirus muelleri;Platycheirus muelleri;Yes
Platycheirus naso;Platycheirus naso;Yes
Platycheirus nielseni;Platycheirus nielseni;Yes
Platycheirus nigrofemoratus;Platycheirus nigrofemoratus;Yes
Platycheirus nv sp scutatus;-;No
Platycheirus occultus;Platycheirus occultus;Yes
Platycheirus octomaculatus;Platycheirus europaeus;Yes
Platycheirus parmatus;Platycheirus parmatus;Yes
Platycheirus peltatus;Platycheirus peltatus;Yes
Platycheirus perpallidus;Platycheirus perpallidus;Yes
Platycheirus podagratus;Platycheirus podagratus;Yes
Platycheirus ramsarensis;Platycheirus ramsarensis;Yes
Platycheirus rosarum;Pyrophaena rosarum;Yes
Platycheirus scambus;Platycheirus scambus;Yes
Platycheirus scutatus;Platycheirus scutatus;Yes
Platycheirus scutatus sl.;-;No
Platycheirus scutatus/aurol;-;No
Platycheirus sp;-;No
Platycheirus sp.;-;No
Platycheirus spec.;-;No
Platycheirus speighti;Platycheirus speighti;Yes
Platycheirus splendidus;Platycheirus splendidus;Yes
Platycheirus sticticus;Platycheirus sticticus;Yes
Platycheirus subambigus;Platycheirus subambiguus;Yes
Platycheirus subordinatus;Platycheirus subordinatus;Yes
Platycheirus tarsalis;Platycheirus tarsalis;Yes
Platycheirus tatricus;Platycheirus tatricus;Yes
Platycheirus transfugus;Platycheirus transfugus;Yes
Platycheirus troll;Platycheirus troll;No
Platycheirus urakawensis;Platycheirus urakawensis;Yes
Platycheirus varipes;Platycheirus varipes;Yes
Platynochaetus macquarti;Platynochaetus macquarti;Yes
Platynochaetus rufus;Platynochaetus rufus;No
Platynochaetus setosus;Platynochaetus setosus;Yes
Pocota personata;Pocota personata;Yes
Portevinia maculata;Portevinia maculata;Yes
Primocerioides regale;Primocerioides regale;Yes
Psarus abdominalis;Psarus abdominalis;Yes
Pseudodoros nigricollis;Pseudodoros nigricollis;Yes
Pseudopelecocera;-;No
Pseudopelecocera latifrons;Pseudopelecocera latifrons;Yes
Psilota;-;No
Psilota anthracina;Psilota anthracina;Yes
Psilota atra;Psilota atra;Yes
Psilota exilistyla;Psilota exilistyla;Yes
Psilota innupta;Psilota innupta;Yes
Psilota aegeae;Psilota aegeae;Yes
Psilota anthracina;Psilota anthracina;Yes
Psilota atra;Psilota atra;Yes
Psilota exilistyla;Psilota exilistyla;Yes
Psilota innupta;Psilota innupta;Yes
Psilota Meigen,;-;No
Psilota nana;Psilota nana;Yes
Psilota sp nova;-;No
Psilota spec.;-;No
Pyrophaena rosarum;Pyrophaena rosarum;Yes
Pyrophaena albimanus;Platyheirus albimanus;Yes
Pyrophaena granditarsa;Pyrophaena granditarsa;Yes
Pyrophaena granditarsis;Pyrophaena granditarsa;Yes
Pyrophaena rosarum;Pyrophaena rosarum;Yes
Rhingia;-;No
Rhingia campestris;Rhingia campestris;Yes
Rhingia austriaca;Rhingia borealis;Yes
Rhingia austriaca (borealis;Rhingia borealis;Yes
Rhingia borealis;Rhingia borealis;Yes
Rhingia campestris;Rhingia campestris;Yes
Rhingia rostrata;Rhingia rostrata;Yes
Rhingia sp.;-;No
Riponnensia;-;No
Riponnensia insignis;Riponnensia insignis;Yes
Riponnensia longicornis;Riponnensia longicornis;Yes
Riponnensia morini;Riponnensia morini;Yes
Riponnensia splendens;Riponnensia splendens;Yes
Rohdendorfia alpina;Rohdendorfia alpina;Yes
Scae5.a pyrastri;Scaeva pyrastri;Yes
Scaeva;-;No
Scaeva pyrastri;Scaeva pyrastri;Yes
Scaeva dignota;Scaeva dignota;Yes
Scaeva pyrastri;Scaeva pyrastri;Yes
Scaeva selenitica;Scaeva selenitica;Yes
Scaeva albomaculata;Scaeva albomaculata;Yes
Scaeva dignota;Scaeva dignota;Yes
Scaeva Fabricius,;-;No
Scaeva mecogramma;Scaeva mecogramma;Yes
Scaeva pyrastri;Scaeva pyrastri;Yes
Scaeva selenitica;Scaeva selenitica;Yes
Scaeva seleniticus;Scaeva selenitica;Yes
Sericomyia;-;No
Sericomyia bombiformis;Sericomyia bombiformis;Yes
Sericomyia lappona;Sericomyia lappona;Yes
Sericomyia silentis;Sericomyia silentis;Yes
Sericomyia superbiens;Sericomyia superbiens;Yes
Sericomyia arctica;Sericomyia arctica;Yes
Sericomyia bequaerti;Sericomyia bequaerti;Yes
Sericomyia bombiforme;Sericomyia bombiformis;Yes
Sericomyia bombiformis;Sericomyia bombiformis;Yes
Sericomyia borealis;Sericomyia silentis;Yes
Sericomyia fulva;Sericomyia superbiens;Yes
Sericomyia hispanica;Sericomyia hispanica;Yes
Sericomyia jakutica;Sericomyia jakutica;Yes
Sericomyia lappona;Sericomyia lappona;Yes
Sericomyia mussitans;Sericomyia superbiens;Yes
Sericomyia nigra;Sericomyia nigra;Yes
Sericomyia silentis;Sericomyia silentis;Yes
Sericomyia superbiens;Sericomyia superbiens;Yes
Sericomyia suprbiens;Sericomyia superbiens;Yes
Sericomyia tolli;Sericomyia tolli;Yes
Simosyrphus aegyptius;Ischiodon aegyptius;Yes
Simosyrphus scutellaris;Ischiodon scutellaris;Yes
sp;-;No
sp.;-;No
Spazigaster ambulans;Spazigaster ambulans;Yes
Spazigaster ambulans;Spazigaster ambulans;Yes
Sphaerophoria;-;No
Sphaerophoria scripta;Sphaerophoria scripta;Yes
Sphaerophoria abbreviata;Sphaerophoria abbreviata;Yes
Sphaerophoria bankowskae;Sphaerophoria bankowskae;Yes
Sphaerophoria bengalensis;Sphaerophoria bengalensis;Yes
Sphaerophoria borealpina;Sphaerophoria boreoalpina;Yes
Sphaerophoria boreoalpina;Sphaerophoria boreoalpina;Yes
Sphaerophoria chongjini;Sphaerophoria chongjini;Yes
Sphaerophoria estebani;Sphaerophoria estebani;Yes
Sphaerophoria fatarum;Sphaerophoria fatarum;Yes
Sphaerophoria infuscata;Sphaerophoria infuscata;Yes
Sphaerophoria interrupta;Sphaerophoria interrupta;Yes
Sphaerophoria laurae;Sphaerophoria laurae;Yes
Sphaerophoria loewi;Sphaerophoria loewi;Yes
Sphaerophoria rueppelli;Sphaerophoria rueppelli;Yes
Sphaerophoria rueppellii;Sphaerophoria rueppelli;Yes
Sphaerophoria scripta;Sphaerophoria scripta;Yes
Sphaerophoria shirchan;Sphaerophoria shirchan;Yes
Sphaerophoria taeniata;Sphaerophoria taeniata;Yes
