TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
Hesperapis hantamensis;Hesperapis hantamensis;No
Hesperapis micheneri;Hesperapis micheneri;No
Hesperapis nanula;Hesperapis nanula;No
Hesperapis nigerrima;Hesperapis nigerrima;No
Hesperapis plumipes;Hesperapis plumipes;No
Hesperapis rhodostoma;Hesperapis rhodostoma;No
Hesperapis richtersveldensis;Hesperapis richtersveldensis;No
Hesperapis rufiventris;Hesperapis rufiventris;No
Hofferia schmiedeknechti;Hofferia schmiedeknechti;Yes
Holcopasites calliopsidis;Holcopasites calliopsidis;No
Hoplitis  sp.;-;No
Hoplitis (Alcidamea) acuticornis;Hoplitis acuticornis;Yes
Hoplitis (Alcidamea) claviventris;Hoplitis claviventris;Yes
Hoplitis (Alcidamea) fulva;Hoplitis fulva;Yes
Hoplitis (Alcidamea) leucomelana;Hoplitis leucomelana;Yes
Hoplitis (Alcidamea) mitis;Hoplitis mitis;Yes
Hoplitis (Alcidamea) praestans;Hoplitis praestans;Yes
Hoplitis (Anthocopa)  sp.;-;No
Hoplitis (Anthocopa) jakovlevi;Hoplitis jakovlevi;Yes
Hoplitis (Anthocopa) papaveris;Hoplitis papaveris;Yes
Hoplitis (Hoplitis)  carinata;Hoplitis carinata;Yes
Hoplitis (Hoplitis) anthocopoides;Hoplitis anthocopoides;Yes
Hoplitis (Hoplitis) manicata;Hoplitis manicata;Yes
Hoplitis acuticornis;Hoplitis acuticornis;Yes
Hoplitis acuticornis ;Hoplitis acuticornis;Yes
Hoplitis acuticornis  ;Hoplitis acuticornis;Yes
Hoplitis adunca;Hoplitis adunca;Yes
Hoplitis adunca ;Hoplitis adunca;Yes
Hoplitis adunca adunca;Hoplitis adunca;Yes
Hoplitis adunca contraria;Hoplitis adunca;Yes
Hoplitis albatera;Hoplitis albatera;Yes
Hoplitis albiscopa;Hoplitis albiscopa;Yes
Hoplitis allii;Hoplitis allii;No
Hoplitis andrenoides;Osmia andrenoides;Yes
Hoplitis annulata;Hoplitis annulata;Yes
Hoplitis annulata ;Hoplitis annulata;Yes
Hoplitis antalyae;Hoplitis antalyae;Yes
Hoplitis antennata;Hoplitis antennata;No
Hoplitis anthocopoides;Hoplitis anthocopoides;Yes
Hoplitis anthocopoides ;Hoplitis anthocopoides;Yes
Hoplitis anthocopoides    ;Hoplitis anthocopoides;Yes
Hoplitis antigae;Hoplitis antigae;Yes
Hoplitis antigae ;Hoplitis antigae;Yes
Hoplitis arenivagus;Hoplitis arenivagus;No
Hoplitis batyamae;Hoplitis batyamae;Yes
Hoplitis benoisti;Hoplitis benoisti;Yes
Hoplitis benoisti ;Hoplitis benoisti;Yes
Hoplitis bicallosa;Hoplitis bicallosa;Yes
Hoplitis bihamata;Hoplitis bihamata;Yes
Hoplitis bihamata ;Hoplitis bihamata;Yes
Hoplitis bipartita;Hoplitis grumi;Yes
Hoplitis bispinosa;Hoplitis bispinosa;Yes
Hoplitis bisulca;Hoplitis bisulca;Yes
Hoplitis brachypogon;Hoplitis brachypogon;Yes
Hoplitis brachypogon ;Hoplitis brachypogon;Yes
Hoplitis brachypogon   ;Hoplitis brachypogon;Yes
Hoplitis cadiza;Hoplitis cadiza;Yes
Hoplitis campanularis;Hoplitis campanularis;Yes
Hoplitis carinata;Hoplitis carinata;Yes
Hoplitis caucasicola;Hoplitis caucasicola;Yes
Hoplitis ciliaris;Hoplitis ciliaris;Yes
Hoplitis claviventris;Hoplitis claviventris;Yes
Hoplitis claviventris ;Hoplitis claviventris;Yes
Hoplitis claviventris  ;Hoplitis claviventris;Yes
Hoplitis claviventris   ;Hoplitis claviventris;Yes
Hoplitis conosimilis;Hoplitis conosimilis;No
Hoplitis corniculata;Osmia corniculata;Yes
Hoplitis crassipunctata;Hoplitis crassipunctata;No
Hoplitis cretaea;Hoplitis bisulca;Yes
Hoplitis cristata;Hoplitis cristatula;Yes
Hoplitis cristatula;Hoplitis cristatula;Yes
Hoplitis curtula;Hoplitis curtula;Yes
Hoplitis curvipes;Hoplitis curvipes;Yes
Hoplitis cypriaca;Hoplitis cypriaca;Yes
Hoplitis cypriaca ;Hoplitis cypriaca;Yes
Hoplitis dalmatica;Hoplitis dalmatica;Yes
Hoplitis eremoplana;Wainia eremoplana;No
Hoplitis erzurumensis;Hoplitis erzurumensis;No
Hoplitis fabrei;Hoplitis fabrei;Yes
Hoplitis fasciculata;Hoplitis fasciculata;Yes
Hoplitis fasciculata ;Hoplitis fasciculata;Yes
Hoplitis fertoni;Hoplitis fertoni;Yes
Hoplitis fertoni ;Hoplitis fertoni;Yes
Hoplitis gobiensis;Hoplitis gobiensis;No
Hoplitis graeca;Hoplitis graeca;Yes
Hoplitis grinnelli;Hoplitis grinnelli;No
Hoplitis grossepunctata;Hoplitis grossepunctata;Yes
Hoplitis grumi;Hoplitis grumi;Yes
Hoplitis haemi;Hoplitis haemi;Yes
Hoplitis haplophylli;Hoplitis haplophylli;No
Hoplitis hilbera;Hoplitis hilbera;Yes
Hoplitis holmboei;Hoplitis holmboei;Yes
Hoplitis holmboei ;Hoplitis holmboei;Yes
Hoplitis idaensis;Hoplitis idaensis;Yes
Hoplitis idalia;Hoplitis fasciculata;Yes
Hoplitis illyrica;Hoplitis illyrica;Yes
Hoplitis incognita;Hoplitis maghrebensis;No
Hoplitis insularis;Hoplitis insularis;Yes
Hoplitis insularis ;Hoplitis insularis;Yes
Hoplitis jakovlevi;Hoplitis jakovlevi;Yes
Hoplitis jheringi;Hoplitis jheringii;Yes
Hoplitis laevifrons;Hoplitis laevifrons;Yes
Hoplitis laevifrons  ;Hoplitis laevifrons;Yes
Hoplitis lepeletieri;Hoplitis lepeletieri;Yes
Hoplitis leteberi;Hoplitis hierichonica;No
Hoplitis leucomelaena;Hoplitis leucomelana;Yes
Hoplitis leucomelana;Hoplitis leucomelana;Yes
Hoplitis leucomelana ;Hoplitis leucomelana;Yes
Hoplitis limassolica;Hoplitis limassolica;Yes
Hoplitis limassolica ;Hoplitis limassolica;Yes
Hoplitis lithodorae;Hoplitis lithodorae;Yes
Hoplitis loti;Hoplitis loti;Yes
Hoplitis lysholmi;Hoplitis lysholmi;Yes
Hoplitis manicata;Hoplitis manicata;Yes
Hoplitis manuelae;Hoplitis manuelae;Yes
Hoplitis marchali;Hoplitis marchali;Yes
Hoplitis maritima;Hoplitis maritima;No
Hoplitis maritima ;Hoplitis maritima;No
Hoplitis mazzuccoi;Hoplitis mazzuccoi;Yes
Hoplitis melanura;Osmia melanura;Yes
Hoplitis mitis;Hoplitis mitis;Yes
Hoplitis mitis granadae;Hoplitis mitis;Yes
Hoplitis mocsaryi;Hoplitis mocsaryi;Yes
Hoplitis mollis;Hoplitis mollis;Yes
Hoplitis moricei;Hoplitis moricei;Yes
Hoplitis mucida;Hoplitis mucida;No
Hoplitis mucidoides;Hoplitis mucidoides;No
Hoplitis nasuta;Osmia nasuta;Yes
Hoplitis nicolaei;Hoplitis nicolaei;Yes
Hoplitis obtusa;Hoplitis obtusa;Yes
Hoplitis obtusa ;Hoplitis obtusa;Yes
Hoplitis occidentalis;Hoplitis occidentalis;Yes
Hoplitis ochraceicornis;Hoplitis ochraceicornis;Yes
Hoplitis ochraceicornis ;Hoplitis ochraceicornis;Yes
Hoplitis onychophora;Hoplitis onychophora;Yes
Hoplitis pallicornis;Hoplitis pallicornis;Yes
Hoplitis papaveris;Hoplitis papaveris;Yes
Hoplitis perambigua;Hoplitis perambigua;Yes
Hoplitis perezi;Hoplitis perezi;Yes
Hoplitis pici;Hoplitis pici;Yes
Hoplitis pomarina;Hoplitis pomarina;Yes
Hoplitis praestans;Hoplitis praestans;Yes
Hoplitis princeps ;Hoplitis princeps;Yes
Hoplitis producta;Hoplitis producta;No
Hoplitis pulchella;Hoplitis pulchella;Yes
Hoplitis ravouxi;Hoplitis ravouxi;Yes
Hoplitis ravouxi ;Hoplitis ravouxi;Yes
Hoplitis robusta;Hoplitis robusta;Yes
Hoplitis rufohirta;Osmia rufohirta;Yes
Hoplitis saundersi;Hoplitis saundersi;Yes
Hoplitis saxialis;Hoplitis saxialis;Yes
Hoplitis semirubra;Hoplitis semirubra;No
Hoplitis serainae;Hoplitis serainae;Yes
Hoplitis sp.;-;No
Hoplitis sp. 1;-;No
Hoplitis sp. 2;-;No
Hoplitis sp.2;-;No
Hoplitis spinigera  ;Osmia spinigera;Yes
Hoplitis stecki;Hoplitis stecki;Yes
Hoplitis subbutea;Hoplitis subbutea;Yes
Hoplitis submanicata;Hoplitis submanicata;Yes
Hoplitis tenuispina;Hoplitis tenuispina;Yes
Hoplitis tenuispina ;Hoplitis tenuispina;Yes
Hoplitis tigrina;Hoplitis tigrina;Yes
Hoplitis tkalcuella;Hoplitis tkalcuella;Yes
Hoplitis tridentata;Hoplitis tridentata;Yes
Hoplitis tridentata ;Hoplitis tridentata;Yes
Hoplitis tuberculata;Hoplitis tuberculata;Yes
Hoplitis uncaticornis;Hoplitis uncaticornis;No
Hoplitis villosa;Hoplitis villosa;Yes
Hoplitis yermasoiyae;Hoplitis yermasoyiae;Yes
Hoplitis yermasoyiae;Hoplitis yermasoyiae;Yes
Hoplitis yermasoyiae ;Hoplitis yermasoyiae;Yes
Hoplitis yermasoyiae corcyraea;Hoplitis yermasoyiae;Yes
Hoplitis yermasoyiae yermasoyiae;Hoplitis yermasoyiae;Yes
Hoplitis zaianorum;Hoplitis zaianorum;Yes
Hoplitis zaianorum ;Hoplitis zaianorum;Yes
Hoplitis zandeni ;Hoplitis zandeni;Yes
Hoplosmia (Hoplosmia) spinulosa;Osmia spinulosa;Yes
Hoplosmia (Odontanthocopa) scutellaris;Osmia scutellaris;Yes
Hoplosmia anceyi;Osmia anceyi;Yes
Hoplosmia bidentata;Osmia bidentata;Yes
Hoplosmia croatica;Osmia croatica;Yes
Hoplosmia fallax;Osmia fallax;Yes
Hoplosmia ligurica;Osmia ligurica;Yes
Hoplosmia pinguis;Osmia pinguis;Yes
Hoplosmia scutellaris;Osmia scutellaris;Yes
Hoplosmia spinulosa;Osmia spinulosa;Yes
Hyaleus alpinus;Hylaeus alpinus;Yes
Hyaleus angustatus;Hylaeus angustatus;Yes
Hyaleus annularis;Hylaeus dilatatus;Yes
Hyaleus bisinuatus;Hylaeus leptocephalus;Yes
Hyaleus brevicornis;Hylaeus brevicornis;Yes
Hyaleus brunnescens;Hylaeus absolutus;Yes
Hyaleus chimani;Hylaeus chimani;No
Hyaleus communis;Hylaeus communis;Yes
Hyaleus confusus;Hylaeus confusus;Yes
Hyaleus cornutus;Hylaeus cornutus;Yes
Hyaleus difformis;Hylaeus difformis;Yes
Hyaleus dilatatus;Hylaeus dilatatus;Yes
Hyaleus duckei;Hylaeus duckei;Yes
Hyaleus eardleyi;Hylaeus eardleyi;No
Hyaleus fossifer;Hylaeus fossifer;No
Hyaleus fulvicrus;Hylaeus fulvicrus;No
Hyaleus gessianus;Hylaeus gessianus;No
Hyaleus gibbus;Hylaeus gibbus;Yes
Hyaleus gracilicornis;Hylaeus gracilicornis;Yes
Hyaleus gredleri;Hylaeus gredleri;Yes
Hyaleus haladanius;Hylaeus haladanius;No
Hyaleus hyalinatus;Hylaeus hyalinatus;Yes
Hyaleus intermedius;Hylaeus intermedius;Yes
Hyaleus leptocephalus;Hylaeus leptocephalus;Yes
Hyaleus lineolatus;Hylaeus lineolatus;Yes
Hyaleus moricei;Hylaeus nigrifacies;Yes
Hyaleus mucoreus;Hylaeus mucoreus;No
Hyaleus nigritus;Hylaeus nigritus;Yes
Hyaleus paradiformis;Hylaeus paradiformis;No
Hyaleus paulus;Hylaeus paulus;Yes
Hyaleus penalaris;Hylaeus penalaris;Yes
Hyaleus pictipes;Hylaeus pictipes;Yes
Hyaleus punctatus;Hylaeus punctatus;Yes
Hyaleus punctulatissimus;Hylaeus punctulatissimus;Yes
Hyaleus rinki;Hylaeus rinki;Yes
Hyaleus rostratus;Hylaeus rostratus;No
Hyaleus rubellus;Hylaeus rubellus;No
Hyaleus senilis;Hylaeus senilis;No
Hyaleus signatus;Hylaeus signatus;Yes
Hyaleus sinuatus;Hylaeus sinuatus;Yes
Hyaleus styriacus;Hylaeus styriacus;Yes
Hyaleus submanticola;Hylaeus submanticola;No
Hyaleus thoracicus;Hylaeus thoracicus;No
Hyaleus trinotatus;Hylaeus trinotatus;Yes
Hyaleus tyrolensis;Hylaeus tyrolensis;Yes
Hyaleus variegatus;Hylaeus variegatus;Yes
Hyaleus venustus;Hylaeus venustus;No
Hylaeus;-;No
Hylaeus  sp.;-;No
Hylaeus (Dentigera) sp. 1;-;No
Hylaeus (Dentigera) sp. 2;-;No
Hylaeus (Dentigera) sp. 3;-;No
Hylaeus (Dentigera) sp. 4;-;No
Hylaeus (Dentigera) sp. 5;-;No
Hylaeus (Dentigera) sp. fem.;-;No
Hylaeus (Prosopis);-;No
Hylaeus (Prosopius) sp. ;-;No
Hylaeus absolutus;Hylaeus absolutus;Yes
Hylaeus adriaticus;Hylaeus adriaticus;Yes
Hylaeus adriaticus ;Hylaeus adriaticus;Yes
Hylaeus alpinus;Hylaeus alpinus;Yes
Hylaeus alpinus ;Hylaeus alpinus;Yes
Hylaeus angustatus;Hylaeus angustatus;Yes
Hylaeus angustatus ;Hylaeus angustatus;Yes
Hylaeus angustatus angustatus;Hylaeus angustatus;Yes
Hylaeus angustatus punctifrons;Hylaeus angustatus;Yes
Hylaeus annularis;Hylaeus annularis;Yes
Hylaeus annularis ;Hylaeus annularis;Yes
Hylaeus annulatus;Hylaeus annulatus;Yes
Hylaeus annulatus ;Hylaeus annulatus;Yes
Hylaeus ater;Hylaeus ater;Yes
Hylaeus biarmicus;Hylaeus biarmicus;Yes
Hylaeus bicarinatus;Hylaeus incongruus;Yes
Hylaeus bifasciatus;Hylaeus bifasciatus;Yes
Hylaeus bifasciatus ;Hylaeus bifasciatus;Yes
Hylaeus bipunctatus;Hylaeus signatus;Yes
Hylaeus bipunctatus berlandi;Hylaeus signatus;Yes
Hylaeus bipunctatus bipunctatus;Hylaeus signatus;Yes
Hylaeus bisinuatus;Hylaeus leptocephalus;Yes
Hylaeus brachycephalus;Hylaeus brachycephalus;Yes
Hylaeus brachycephalus ;Hylaeus brachycephalus;Yes
Hylaeus brevicornis;Hylaeus brevicornis;Yes
Hylaeus brevicornis ;Hylaeus brevicornis;Yes
Hylaeus canariensis;Hylaeus canariensis;Yes
Hylaeus canariensis ;Hylaeus canariensis;Yes
Hylaeus cardioscapus;Hylaeus cardioscapus;Yes
Hylaeus cardioscapus ;Hylaeus cardioscapus;Yes
Hylaeus cf. nigritus;-;No
Hylaeus clypearis;Hylaeus clypearis;Yes
Hylaeus communis;Hylaeus communis;Yes
Hylaeus communis ;Hylaeus communis;Yes
Hylaeus communis communis;Hylaeus communis;Yes
Hylaeus communis deceptorius;Hylaeus deceptorius;Yes
Hylaeus conformis;Hylaeus conformis;Yes
Hylaeus confusus;Hylaeus confusus;Yes
Hylaeus confusus ;Hylaeus confusus;Yes
Hylaeus convergens;Hylaeus convergens;Yes
Hylaeus coriaceus;Hylaeus coriaceus;Yes
Hylaeus cornutus;Hylaeus cornutus;Yes
Hylaeus crassanus;Hylaeus crassanus;Yes
Hylaeus cypricola;Hylaeus cypricola;Yes
Hylaeus cypricola ;Hylaeus cypricola;Yes
Hylaeus cypricolus;Hylaeus cypricola;Yes
Hylaeus deceptorius;Hylaeus deceptorius;Yes
Hylaeus decipiens;Hylaeus decipiens;Yes
Hylaeus difformis;Hylaeus difformis;Yes
Hylaeus difformis ;Hylaeus difformis;Yes
Hylaeus difformis difformis;Hylaeus difformis;Yes
Hylaeus difformis hispanicus;Hylaeus difformis;Yes
Hylaeus dilatatus;Hylaeus dilatatus;Yes
Hylaeus diplonymus;Hylaeus imparilis;Yes
Hylaeus duckei;Hylaeus duckei;Yes
Hylaeus duckei ;Hylaeus duckei;Yes
Hylaeus euryscapus;Hylaeus euryscapus;Yes
Hylaeus euryscapus ;Hylaeus euryscapus;Yes
Hylaeus euryscapus euryscapus;Hylaeus euryscapus;Yes
Hylaeus euryscapus spilotus;Hylaeus annularis;Yes
Hylaeus floralis;Hylaeus floralis;No
Hylaeus friesei;Hylaeus friesei;Yes
Hylaeus fulvicrus;Hylaeus fulvicrus;No
Hylaeus garrulus;Hylaeus garrulus;Yes
Hylaeus garrulus ;Hylaeus garrulus;Yes
Hylaeus gibbus;Hylaeus gibbus;Yes
Hylaeus gibbus ;Hylaeus gibbus;Yes
Hylaeus glacialis;Hylaeus glacialis;Yes
Hylaeus globula;Hylaeus globula;No
Hylaeus gracilicornis;Hylaeus gracilicornis;Yes
Hylaeus gracilicornis ;Hylaeus gracilicornis;Yes
Hylaeus gredleri;Hylaeus gredleri;Yes
Hylaeus gredleri ;Hylaeus gredleri;Yes
Hylaeus gredleri  ;Hylaeus gredleri;Yes
Hylaeus hellenicus;Hylaeus hellenicus;Yes
Hylaeus hohmanni;Hylaeus hohmanni;Yes
Hylaeus homanni ;Hylaeus hohmanni;Yes
Hylaeus hyalinata;Hylaeus hyalinatus;Yes
Hylaeus hyalinatus;Hylaeus hyalinatus;Yes
Hylaeus hyalinatus ;Hylaeus hyalinatus;Yes
Hylaeus hyalinatus aragonensis;Hylaeus hyalinatus;Yes
Hylaeus hyalinatus hyalinatus;Hylaeus hyalinatus;Yes
Hylaeus hyperpunctatus;Hylaeus hyperpunctatus;Yes
Hylaeus hyperpunctatus ;Hylaeus hyperpunctatus;Yes
Hylaeus hyperpunctatus subhyalinatus;Hylaeus hyperpunctatus;Yes
Hylaeus ibericus;Hylaeus ibericus;Yes
Hylaeus imparilis;Hylaeus imparilis;Yes
Hylaeus imparilis ;Hylaeus imparilis;Yes
Hylaeus incongruus;Hylaeus incongruus;Yes
Hylaeus incongruus ;Hylaeus incongruus;Yes
Hylaeus insularum;Hylaeus insularum;No
Hylaeus intermedius;Hylaeus intermedius;Yes
Hylaeus kahri;Hylaeus kahri;Yes
Hylaeus kahri ;Hylaeus kahri;Yes
Hylaeus koenigsmanni;Hylaeus koenigsmanni;Yes
Hylaeus leptocephalus;Hylaeus leptocephalus;Yes
Hylaeus leptocephalus ;Hylaeus leptocephalus;Yes
Hylaeus lineolatus;Hylaeus lineolatus;Yes
Hylaeus lineolatus lineolatus;Hylaeus lineolatus;Yes
Hylaeus longimaculus;Hylaeus longimaculus;Yes
Hylaeus maderensis;Hylaeus maderensis;Yes
Hylaeus meridionalis;Hylaeus meridionalis;Yes
Hylaeus meridionalis ;Hylaeus meridionalis;Yes
Hylaeus moricei;Hylaeus nigrifacies;Yes
Hylaeus moricei ;Hylaeus nigrifacies;Yes
Hylaeus moricei luteifrons;Hylaeus nigrifacies;Yes
Hylaeus nigrifacies;Hylaeus nigrifacies;Yes
Hylaeus nigrifacies ;Hylaeus nigrifacies;Yes
Hylaeus nigrinus;Hylaeus nigritus;Yes
Hylaeus nigripes;Hylaeus confusus;Yes
Hylaeus nigritus;Hylaeus nigritus;Yes
Hylaeus nigritus ;Hylaeus nigritus;Yes
Hylaeus nippon;Hylaeus nippon;No
Hylaeus nivaliformis;Hylaeus nivaliformis;Yes
Hylaeus nivaliformis ;Hylaeus nivaliformis;Yes
Hylaeus nivalis;Hylaeus nivalis;Yes
Hylaeus nivalis ;Hylaeus nivalis;Yes
Hylaeus niveofasciatus;Hylaeus conformis;Yes
Hylaeus pallescens;Hylaeus pallidicornis;Yes
Hylaeus pallidicornis;Hylaeus pallidicornis;Yes
Hylaeus parvulus;Hylaeus intermedius;Yes
Hylaeus paulus;Hylaeus paulus;Yes
Hylaeus paulus ;Hylaeus paulus;Yes
Hylaeus pectoralis;Hylaeus pectoralis;Yes
Hylaeus pectoralis ;Hylaeus pectoralis;Yes
Hylaeus penalaris;Hylaeus penalaris;Yes
Hylaeus penalaris ;Hylaeus penalaris;Yes
Hylaeus pfankuchi;Hylaeus pfankuchi;Yes
Hylaeus pictipes;Hylaeus pictipes;Yes
Hylaeus pictus;Hylaeus pictus;Yes
Hylaeus pictus ;Hylaeus pictus;Yes
Hylaeus pilosulus;Hylaeus pilosulus;Yes
Hylaeus praenotatus;Hylaeus praenotatus;No
Hylaeus punctatus;Hylaeus punctatus;Yes
Hylaeus punctatus ;Hylaeus punctatus;Yes
Hylaeus punctatus punctatus;Hylaeus punctatus;Yes
Hylaeus punctualissimus;Hylaeus punctulatissimus;Yes
Hylaeus punctulatissima ;Hylaeus punctulatissimus;Yes
Hylaeus punctulatissimus;Hylaeus punctulatissimus;Yes
Hylaeus punctus;Hylaeus punctus;Yes
Hylaeus pyrenaicus;Hylaeus pyrenaicus;Yes
Hylaeus rinki;Hylaeus rinki;Yes
Hylaeus rostratus;Hylaeus rostratus;No
Hylaeus rubellus;Hylaeus rubellus;No
Hylaeus rubicola;Hylaeus rubicola;Yes
Hylaeus rubicola ;Hylaeus rubicola;Yes
Hylaeus rugicollis;Hylaeus rugicollis;Yes
Hylaeus scutelatta;Hylaeus scutellatus;Yes
Hylaeus scutellata ;Hylaeus scutellatus;Yes
Hylaeus scutellatus;Hylaeus scutellatus;Yes
Hylaeus scutellatus ;Hylaeus scutellatus;Yes
Hylaeus sidensis;Hylaeus sidensis;Yes
Hylaeus signatus;Hylaeus signatus;Yes
Hylaeus signatus ;Hylaeus signatus;Yes
Hylaeus sinuatus;Hylaeus sinuatus;Yes
Hylaeus sinuatus ;Hylaeus sinuatus;Yes
Hylaeus soror;Hylaeus soror;Yes
Hylaeus sp.;-;No
Hylaeus sp.1;-;No
Hylaeus sp.2;-;No
Hylaeus sp.3;-;No
Hylaeus spilotus;Hylaeus annularis;Yes
Hylaeus stigmorhinus;Hylaeus purpurissatus;Yes
Hylaeus styriacus;Hylaeus styriacus;Yes
Hylaeus styriacus ;Hylaeus styriacus;Yes
Hylaeus sulphuripes;Hylaeus sulphuripes;Yes
Hylaeus taeniolatus;Hylaeus taeniolatus;Yes
Hylaeus taeniolatus ;Hylaeus taeniolatus;Yes
Hylaeus teruelus;Hylaeus teruelus;Yes
Hylaeus trifidus;Hylaeus trifidus;Yes
Hylaeus trinotatus;Hylaeus trinotatus;Yes
Hylaeus trinotatus ;Hylaeus trinotatus;Yes
Hylaeus tyrolensis;Hylaeus tyrolensis;Yes
Hylaeus tyrolensis ;Hylaeus tyrolensis;Yes
Hylaeus variegatus;Hylaeus variegatus;Yes
Hylaeus variegatus ;Hylaeus variegatus;Yes
Hylaeus variegatus coriaceus;Hylaeus coriaceus;Yes
Hylaeus variegatus variegatus;Hylaeus variegatus;Yes
Hylaeus woodi nsp;-;No
Icteranthidium  capitum;Icteranthidium capitum;No
Icteranthidium cimbiciforme;Icteranthidium cimbiciforme;Yes
Icteranthidium ferrugineum;Icteranthidium ferrugineum;Yes
Icteranthidium ferrugineum ;Icteranthidium ferrugineum;Yes
Icteranthidium ferrugineum discoidale;Icteranthidium ferrugineum;Yes
Icteranthidium grohmanni;Icteranthidium grohmanni;Yes
Icteranthidium laterale;Icteranthidium laterale;Yes
Icteranthidium laterale ;Icteranthidium laterale;Yes
Icteranthidium laterale scutellare;Icteranthidium laterale;Yes
Icteranthidium sp.;-;No
Icteranthidium  abbasi;Icteranthidium abbasi;No
Icteranthidium  angulosum;Icteranthidium angulosum;No
Lasioglosssum cupromicans;Lasioglossum cupromicans;Yes
Lasioglossum;-;No
Lasioglossum  sp.;-;No
Lasioglossum (Capalictus)  sp.;-;No
Lasioglossum (Evylaeus);-;No
Lasioglossum (Evylaeus)  sp.;-;No
Lasioglossum ablenum;Lasioglossum ablenum;No
Lasioglossum acanthum;Lasioglossum acanthum;No
Lasioglossum acephaloides;Lasioglossum acephaloides;Yes
Lasioglossum acephaloides ;Lasioglossum acephaloides;Yes
Lasioglossum aciculatum;Lasioglossum brevicorne;Yes
Lasioglossum adabaschum;Lasioglossum adabaschum;No
Lasioglossum adaliae;Lasioglossum adaliae;No
Lasioglossum aegyptiellum;Lasioglossum aegyptiellum;Yes
Lasioglossum aegyptiellum ;Lasioglossum aegyptiellum;Yes
Lasioglossum aeratum;Lasioglossum aeratum;Yes
Lasioglossum aeratum ;Lasioglossum aeratum;Yes
Lasioglossum affine;Lasioglossum affine;No
Lasioglossum aglyphum;Lasioglossum mandibulare;Yes
Lasioglossum aglyphum ;Lasioglossum mandibulare;Yes
Lasioglossum akroundicum;Lasioglossum akroundicum;Yes
Lasioglossum akroundicum ;Lasioglossum akroundicum;Yes
Lasioglossum alanum;Lasioglossum alanum;No
Lasioglossum albipes;Lasioglossum albipes;Yes
Lasioglossum albipes ;Lasioglossum albipes;Yes
Lasioglossum albocinctum;Lasioglossum albocinctum;Yes
Lasioglossum albomaculatum;Lasioglossum albocinctum;Yes
Lasioglossum albovirens;Lasioglossum albovirens;Yes
Lasioglossum albovirens belisarius;Lasioglossum albovirens;Yes
Lasioglossum albovirens lajarense;Lasioglossum albovirens;Yes
Lasioglossum alexandrinum;Lasioglossum alexandrinum;No
Lasioglossum algericolellum;Lasioglossum algericolellum;Yes
Lasioglossum algirum;Lasioglossum algirum;Yes
Lasioglossum alinense;Lasioglossum alinense;Yes
Lasioglossum alluaudi;Lasioglossum alluaudi;No
Lasioglossum alpigenum;Lasioglossum alpigenum;Yes
Lasioglossum aneilemae;Lasioglossum aneilemae;No
Lasioglossum anellum;Lasioglossum anellum;Yes
Lasioglossum anellum ;Lasioglossum anellum;Yes
Lasioglossum angusticeps;Lasioglossum angusticeps;Yes
Lasioglossum angustipes;Lasioglossum angustipes;Yes
Lasioglossum angustipes ;Lasioglossum angustipes;Yes
Lasioglossum annulipes;Lasioglossum annulipes;Yes
Lasioglossum aphrodite;Lasioglossum aphrodite;Yes
Lasioglossum aphrodite ;Lasioglossum aphrodite;Yes
Lasioglossum apostoli;Lasioglossum apostoli;Yes
Lasioglossum apostoli ;Lasioglossum apostoli;Yes
Lasioglossum apostoli apostoli;Lasioglossum apostoli;Yes
Lasioglossum apostoli pistis;Lasioglossum apostoli;Yes
Lasioglossum apristum;Lasioglossum apristum;No
Lasioglossum arabs;Lasioglossum arabs;No
Lasioglossum arctifrons;Lasioglossum arctifrons;Yes
Lasioglossum arctifrons arctifrons;Lasioglossum arctifrons;Yes
Lasioglossum arctifrons glandarium;Lasioglossum arctifrons;Yes
Lasioglossum arctifrons optatum;Lasioglossum arctifrons;Yes
Lasioglossum argaeum;Lasioglossum ragusanum;Yes
Lasioglossum argaeum ;Lasioglossum ragusanum;Yes
Lasioglossum ariadne;Lasioglossum ariadne;Yes
Lasioglossum articulare;Lasioglossum articulare;Yes
Lasioglossum asellum;Lasioglossum asellum;Yes
Lasioglossum asiaticum;Lasioglossum subaenescens;Yes
Lasioglossum atrovirens.;Lasioglossum soror;Yes
Lasioglossum audasi;Lasioglossum audasi;No
Lasioglossum aureimontanum;Lasioglossum aureimontanum;Yes
Lasioglossum aureolum;Lasioglossum aureolum;Yes
Lasioglossum austriacum;Lasioglossum subfulvicorne;Yes
Lasioglossum bakeri;Lasioglossum bakeri;No
Lasioglossum bavaricum;Lasioglossum bavaricum;Yes
Lasioglossum bellulum;Lasioglossum bellulum;No
Lasioglossum bhutanicum;Lasioglossum bhutanicum;No
Lasioglossum bicallosum;Lasioglossum bicallosum;Yes
Lasioglossum bimaculatum;Lasioglossum bimaculatum;Yes
Lasioglossum bischoffi;Lasioglossum bischoffi;Yes
Lasioglossum bluethgeni;Lasioglossum bluethgeni;Yes
Lasioglossum boreale;Lasioglossum boreale;Yes
Lasioglossum bourboni;Lasioglossum bourboni;No
Lasioglossum bouyssoui;Lasioglossum bouyssoui;No
Lasioglossum bowkeri;Lasioglossum bowkeri;No
Lasioglossum bredoi;Lasioglossum bredoi;No
Lasioglossum brevicorne;Lasioglossum brevicorne;Yes
