TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
Stelis orientalis;Stelis orientalis;Yes
Stelis pentelica;Stelis pentelica;Yes
Megachile punctatissima;Stelis punctulatissima;Yes
Stelis rhodia;Stelis rhodia;Yes
Stelis scutellaris;Stelis scutellaris;Yes
Stenoheriades hofferi;Stenoheriades coelostoma;Yes
Dasypoda panzeri;Dasypoda panzeri;Yes
 Andrena praecox;Andrena praecox;Yes
Afranthidium carduele;Afranthidium carduele;Yes
Afranthidium carduele malacopygum;Afranthidium carduele;Yes
Afranthidium pusillum;Afranthidium pusillum;No
Afranthidium schulthessii;Afranthidium schulthessii;Yes
Afrodasypoda plumipes;Afrodasypoda plumipes;No
Agapostemon splendens;Agapostemon splendens;No
Aglaoapis tridentata;Aglaoapis tridentata;Yes
Aglaoapis tridentata ;Aglaoapis tridentata;Yes
Aglaoapis tridentatus;Aglaoapis tridentata;Yes
Allodape macula;Allodape macula;No
Allodapula sp.;-;No
Allosmia rufohirta;Osmia rufohirta;Yes
Amegilla  candens ;Amegilla fasciata;Yes
Amegilla  ochroleuca ;Amegilla ochroleuca;Yes
Amegilla  salviae ;Amegilla salviae;Yes
Amegilla  sp.;-;No
Amegilla (Amegilla)  sp.;-;No
Amegilla (Micramegilla)  sp.;-;No
Amegilla _albigena;Amegilla albigena;Yes
Amegilla _albigena_;Amegilla albigena;Yes
Amegilla _andresi;Amegilla andresi;Yes
Amegilla _fasciata;Amegilla fasciata;Yes
Amegilla _fasciata_;Amegilla fasciata;Yes
Amegilla _garrula;Amegilla garrula;Yes
Amegilla _garrula_;Amegilla garrula;Yes
Amegilla _ochroleuca;Amegilla ochroleuca;Yes
Amegilla _ochroleuca_;Amegilla ochroleuca;Yes
Amegilla _quadrifasciata;Amegilla quadrifasciata;Yes
Amegilla _quadrifasciata_;Amegilla quadrifasciata;Yes
Amegilla _salviae;Amegilla salviae;Yes
Amegilla _savignyi;Amegilla savignyi;Yes
Amegilla _savignyi_;Amegilla savignyi;Yes
Amegilla _velocissima;Amegilla velocissima;Yes
Amegilla albigena;Amegilla albigena;Yes
Amegilla albigena ;Amegilla albigena;Yes
Amegilla albigena afra;Amegilla albigena;Yes
Amegilla albigena albida;Amegilla albigena;Yes
Amegilla albigena albigena;Amegilla albigena;Yes
Amegilla albigena graeca;Amegilla albigena;Yes
Amegilla albigena talaris;Amegilla albigena;Yes
Amegilla andresi;Amegilla andresi;Yes
Amegilla argophenax;Amegilla argophenax;No
Amegilla asserta;Amegilla asserta;No
Amegilla atrocincta;Amegilla atrocincta;No
Amegilla batelkai;Amegilla batelkai;No
Amegilla byssina;Amegilla byssina;No
Amegilla camelorum;Amegilla camelorum;No
Amegilla cana;Amegilla cana;No
Amegilla candidella;Amegilla candidella;No
Amegilla canifrons;Amegilla canifrons;Yes
Amegilla carnifrons;Amegilla canifrons;Yes
Amegilla cingulata;Amegilla cingulata;No
Amegilla confusa;Amegilla confusa;No
Amegilla crocea;Amegilla crocea;No
Amegilla deceptrix;Amegilla deceptrix;No
Amegilla dizona;Amegilla dizona;No
Amegilla fasciata;Amegilla fasciata;Yes
Amegilla fimbriata;Amegilla fimbriata;No
Amegilla fixseni;Amegilla fixseni;No
Amegilla florea;Amegilla florea;No
Amegilla garrula;Amegilla garrula;Yes
Amegilla glauca;Amegilla glauca;No
Amegilla glycyrrhizae;Amegilla glycyrrhizae;No
Amegilla harttigi;Amegilla harttigi;No
Amegilla himalajensis;Amegilla himalajensis;No
Amegilla incana;Amegilla incana;No
Amegilla klugi;Amegilla quadrifasciata;Yes
Amegilla latizona;Amegilla latizona;No
Amegilla litorana;Amegilla quadrifasciata;Yes
Amegilla lutulenta;Amegilla lutulenta;No
Amegilla maclachlani;Amegilla maclachlani;No
Amegilla magnilabris;Amegilla savignyi;Yes
Amegilla marqueti;Amegilla marqueti;No
Amegilla montivaga;Amegilla montivaga;No
Amegilla mucorea;Amegilla mucorea;No
Amegilla nigricornis;Amegilla nigricornis;Yes
Amegilla nigropilosa;Amegilla nigropilosa;No
Amegilla niveocincta;Amegilla niveocincta;No
Amegilla nubica;Amegilla nubica;No
Amegilla nubica nubica;Amegilla nubica;No
Amegilla ochroleuca;Amegilla ochroleuca;Yes
Amegilla omissa;Amegilla omissa;No
Amegilla pipiens;Amegilla salviae;Yes
Amegilla pulverea;Amegilla pulverea;No
Amegilla punctifrons;Amegilla punctifrons;No
Amegilla pyramidalis;Amegilla pyramidalis;No
Amegilla quadrifasciata;Amegilla quadrifasciata;Yes
Amegilla quadrifasciata ;Amegilla quadrifasciata;Yes
Amegilla quadrifasciata maderae;Amegilla quadrifasciata;Yes
Amegilla quadrifasciata mediterranea;Amegilla quadrifasciata;Yes
Amegilla quadrifasciata quadrifasciata;Amegilla quadrifasciata;Yes
Amegilla quadrifasciata xerophila;Amegilla quadrifasciata;Yes
Amegilla salita;Amegilla salita;No
Amegilla salviae;Amegilla salviae;Yes
Amegilla savignyi;Amegilla savignyi;Yes
Amegilla sp.;-;No
Amegilla sp. 1;-;No
Amegilla sp. 2;-;No
Amegilla sp2_cf_velocissima;-;No
Amegilla velocissima;Amegilla velocissima;Yes
Amegilla zonata;Amegilla zonata;No
Ammobates  sp.;-;No
Ammobates (Ammobates)  sp.;-;No
Ammobates (Euphileremus) sp.;-;No
Ammobates abdominalis;Ammobatoides abdominalis;Yes
Ammobates anatolicus;Ammobates oraniensis;Yes
Ammobates ancylae;Ammobates ancylae;No
Ammobates armeniacus;Ammobates armeniacus;Yes
Ammobates assimilis;Ammobates assimilis;No
Ammobates atrorufus;Ammobates atrorufus;No
Ammobates atticus;Ammobates armeniacus;Yes
Ammobates aurantiacus;Ammobates oraniensis;Yes
Ammobates baueri;Ammobates baueri;No
Ammobates biastoides;Ammobates biastoides;Yes
Ammobates biastoides globosus ;Ammobates biastoides;Yes
Ammobates buteus;Ammobates buteus;No
Ammobates carinatus;Ammobates muticus;Yes
Ammobates cockerelli;Ammobates cockerelli;No
Ammobates depressus;Ammobates depressus;No
Ammobates dubius;Ammobates dubius;No
Ammobates dusmeti;Ammobates dusmeti;Yes
Ammobates globosus;Ammobates biastoides;Yes
Ammobates handlirschi;Ammobates handlirschi;No
Ammobates hipponensis;Ammobates hipponensis;No
Ammobates iranicus;Ammobates iranicus;No
Ammobates latitarsis;Ammobates latitarsis;No
Ammobates lativalvis;Ammobates lativalvis;No
Ammobates lebedevi;Ammobates lebedevi;No
Ammobates major;Ammobates muticus;Yes
Ammobates mavromoustakisi;Ammobates mavromoustakisi;Yes
Ammobates mavromoustakisi mavromoustakisi;Ammobates mavromoustakisi;Yes
Ammobates melectoides;Ammobates melectoides;Yes
Ammobates minor;Ammobates minor;No
Ammobates muticus;Ammobates muticus;Yes
Ammobates mutinensis;Ammobates mutinensis;No
Ammobates nigrinus;Ammobates nigrinus;No
Ammobates niveatus;Ammobates niveatus;No
Ammobates opacus;Ammobates opacus;Yes
Ammobates oraniensis;Ammobates oraniensis;Yes
Ammobates oraniensis melectoides;Ammobates oraniensis;Yes
Ammobates oraniensis oraniensis;Ammobates oraniensis;Yes
Ammobates oraniensis tenuicornis;Ammobates oraniensis;Yes
Ammobates oxianus;Ammobates oxianus;No
Ammobates persicus;Ammobates persicus;No
Ammobates punctatus;Ammobates punctatus;Yes
Ammobates robustus;Ammobates robustus;No
Ammobates roseus;Ammobates roseus;No
Ammobates rostratus;Ammobates rostratus;No
Ammobates rubens;Ammobates mavromoustakisi;Yes
Ammobates rufiventris;Ammobates rufiventris;Yes
Ammobates sanguineus;Ammobates sanguineus;Yes
Ammobates semitorquatus;Ammobates semitorquatus;No
Ammobates setosus;Ammobates vinctus;Yes
Ammobates similis;Ammobates similis;Yes
Ammobates spp;-;No
Ammobates syriacus;Ammobates syriacus;No
Ammobates tassus;Ammobates armeniacus;Yes
Ammobates teheranicus;Ammobates teheranicus;No
Ammobates tunensis;Ammobates tunensis;No
Ammobates turanicus;Ammobates turanicus;No
Ammobates verhoeffi;Ammobates verhoeffi;Yes
Ammobates vinctus;Ammobates vinctus;Yes
Ammobatoides  sp.;-;No
Ammobatoides (Schmiedeknechtia) sp.;-;No
Ammobatoides abdominalis;Ammobatoides abdominalis;Yes
Ammobatoides luctuosus;Ammobatoides luctuosus;Yes
Ammobatoides melectoides;Ammobates melectoides;Yes
Ammobatoides okalii;Ammobatoides okalii;Yes
Ammobatoides scriptus;Ammobatoides scriptus;Yes
Ancyla anatolica;Ancyla holtzi;No
Ancyla asiatica;Ancyla asiatica;Yes
Ancyla brevis;Ancyla brevis;No
Ancyla cretensis;Ancyla cretensis;Yes
Ancyla cretensis cretensis;Ancyla cretensis;Yes
Ancyla cretensis kilikia;Ancyla cretensis kilikia;No
Ancyla holtzi;Ancyla holtzi;Yes
Ancyla holtzi holtzi;Ancyla holtzi;Yes
Ancyla nigricornis;Ancyla nigricornis;Yes
Ancyla nitida;Ancyla nigricornis;Yes
Ancyla oraniensis;Ancyla oraniensis;No
Ancyla orientalica;Ancyla orientalica;Yes
Ancyla persica;Tarsalia persica;No
Ancyla stolli;Ancyla stolli;No
Andrena;-;No
Andrena  sp.;-;No
Andrena (Andrena)  sp.;-;No
Andrena (Cnemidandrena);-;No
Andrena (Euandrena);-;No
Andrena (Hoplandrena);-;No
Andrena (Melandrena);-;No
Andrena (Melandrena)  sp.;-;No
Andrena (Micrandrena);-;No
Andrena (Micrandrena)  sp.;-;No
Andrena (Ulandrena)  sp.;-;No
Andrena abbreviata;Andrena abbreviata;Yes
Andrena aberrans;Andrena aberrans;Yes
Andrena abessinica;Andrena abessinica;No
Andrena abjecta;Andrena abjecta;Yes
Andrena abrupta;Andrena abrupta;Yes
Andrena acerba;Andrena acerba;Yes
Andrena aciculata;Andrena aciculata;Yes
Andrena aciculata ;Andrena aciculata;Yes
Andrena acrana;Andrena acrana;No
Andrena acuta;Andrena acuta;Yes
Andrena adjacens;Andrena adjacens;No
Andrena aegyptiaca;Andrena aegyptiaca;Yes
Andrena aegyptiaca cannabina;Andrena aegyptiaca;Yes
Andrena aegypticola;Andrena aegypticola;Yes
Andrena aegypticola ;Andrena aegypticola;Yes
Andrena aeneiventris;Andrena aeneiventris;Yes
Andrena aerinifrons;Andrena aerinifrons;Yes
Andrena aetherea;Andrena aetherea;No
Andrena afghana;Andrena afghana;No
Andrena afrensis;Andrena afrensis;Yes
Andrena africana;Andrena africana;No
Andrena afzeliella;Andrena afzeliella;Yes
Andrena agilissima;Andrena agilissima;Yes
Andrena agnata;Andrena agnata;Yes
Andrena aiderensis;Andrena aiderensis;No
Andrena ailisensis;Andrena ailisensis;No
Andrena albicans;Andrena haemorrhoa;Yes
Andrena albifacies;Andrena albifacies;No
Andrena albocinerea;Andrena bicolorata;Yes
Andrena albofasciata;Andrena afzeliella;Yes
Andrena albopicta;Andrena albopicta;Yes
Andrena albopunctata;Andrena albopunctata;Yes
Andrena albopunctata melona;Andrena albopunctata;Yes
Andrena alchata;Andrena alchata;No
Andrena alfkenella;Andrena alfkenella;Yes
Andrena alfkenella alfkenella;Andrena alfkenella;Yes
Andrena alfkenelloides;Andrena alfkenelloides;Yes
Andrena alfkenelloides ;Andrena alfkenelloides;Yes
Andrena alijevi;Andrena alijevi;No
Andrena alisadra;Andrena alisadra;No
Andrena alleghaniensis;Andrena alleghaniensis;No
Andrena allosa;Andrena allosa;Yes
Andrena allosa canigica;Andrena allosa canigica;No
Andrena allosa pileata;Andrena pileata;Yes
Andrena alluaudi;Andrena alluaudi;Yes
Andrena alutacae ;Andrena alutacea;Yes
Andrena alutacea;Andrena alutacea;Yes
Andrena ambigua;Andrena synadelpha;No
Andrena amicula;Andrena amicula;No
Andrena amieti;Andrena amieti;Yes
Andrena ampla;Andrena ampla;Yes
Andrena anatolica;Andrena anatolica;Yes
Andrena Andrena;-;No
Andrena angustior;Andrena angustior;Yes
Andrena anthrisci;Andrena anthrisci;Yes
Andrena antigana;Andrena antigana;Yes
Andrena apicata;Andrena apicata;Yes
Andrena apicata ;Andrena apicata;Yes
Andrena apiformis;Andrena apiformis;Yes
Andrena argentata;Andrena argentata;Yes
Andrena argentata ;Andrena argentata;Yes
Andrena argyreofasciata;Andrena argyreofasciata;No
Andrena arsinoe;Andrena arsinoe;No
Andrena aruana;Andrena aruana;No
Andrena arvensis;Andrena mediovittata;Yes
Andrena asiatica;Andrena asiatica;Yes
Andrena asperrima;Andrena asperrima;Yes
Andrena asperula;Andrena asperula;Yes
Andrena assimilis;Andrena assimilis;Yes
Andrena assimilis barnei;Andrena assimilis;No
Andrena assimilis gallica;Andrena assimilis;Yes
Andrena asteris;Andrena asteris;No
Andrena astica;Andrena astica;Yes
Andrena astrella;Andrena fulica;Yes
Andrena athenensis;Andrena athenensis;Yes
Andrena atrata;Andrena atrata;Yes
Andrena atrorufa;Andrena tuberculifera;Yes
Andrena atrotegularis;Andrena atrotegularis;Yes
Andrena avara;Andrena avara;Yes
Andrena azerbaidshanica;Andrena azerbaidshanica;No
Andrena baetica;Andrena baetica;Yes
Andrena balcanica;Andrena canohirta;Yes
Andrena barbarae;Andrena barbareae;Yes
Andrena barbareae;Andrena barbareae;Yes
Andrena barbilabris;Andrena barbilabris;Yes
Andrena barbilabris ;Andrena barbilabris;Yes
Andrena basimacula;Andrena basimacula;No
Andrena bassana;Andrena bassana;No
Andrena batava;Andrena batava;Yes
Andrena bayona;Andrena bayona;Yes
Andrena bellidis;Andrena bellidis;Yes
Andrena bengasinensis;Andrena bengasinensis;No
Andrena benoisti;Andrena benoisti;Yes
Andrena biarmica;Andrena biarmica;Yes
Andrena bicarinata;Andrena bicarinata;No
Andrena bicolor;Andrena bicolor;Yes
Andrena bicolor ;Andrena bicolor;Yes
Andrena bicolorata;Andrena bicolorata;Yes
Andrena bifida;Andrena bifida;No
Andrena bigutatta;Andrena biguttata;Yes
Andrena biguttata;Andrena biguttata;Yes
Andrena bilavia;Andrena bilavia;No
Andrena bimaculata;Andrena bimaculata;Yes
Andrena bimaculata lichata;Andrena bimaculata;Yes
Andrena binominata;Andrena binominata;Yes
Andrena bisalicis;Andrena bisalicis;No
Andrena biskrensis;Andrena biskrensis;No
Andrena bisulcata;Andrena bisulcata;Yes
Andrena blanda;Andrena blanda;Yes
Andrena bluethgeni;Andrena bimaculata;Yes
Andrena bonasia;Andrena bonasia;No
Andrena boyerella;Andrena boyerella;Yes
