order;family;subfamily;tribe;genus;subgenus;specificEpithet;scientificName;scientificNameAuthorship
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;grossella;Andrena grossella;Grünwaldt, 1976
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Hamandrena;grozdanici;Andrena grozdanici;Osytshnjuk, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Trachandrena ;haemorrhoa;Andrena haemorrhoa;(Fabricius, 1781)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Charitandrena ;hattorfiana;Andrena hattorfiana;(Fabricius, 1775)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;hebescens;Andrena hebescens;Wood, 2020
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aenandrena;hedikae;Andrena hedikae;Jaeger, 1934
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;heinrichi;Andrena heinrichi;Grünwaldt, 2005
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Graecandrena ;helenica;Andrena helenica;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Andrena ;helvola;Andrena helvola;(Linnaeus, 1758)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;henotica;Andrena henotica;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;hesperia;Andrena hesperia;Smith, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Avandrena;heterodoxa;Andrena heterodoxa;Pérez, 1903
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aciandrena;hillana;Andrena hillana;Warncke, 1968
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;humabilis;Andrena humabilis;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;humilis;Andrena humilis;Imhoff, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;hungarica;Andrena hungarica;Friese, 1887
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;hyacinthina;Andrena hyacinthina;Mavromoustakis, 1958
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Poecilandrena ;hybrida;Andrena hybrida;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Graecandrena ;hyemala;Andrena hyemala;Warncke, 1973
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;hypopolia;Andrena hypopolia;Schmiedeknecht, 1884
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aenandrena;hystrix;Andrena hystrix;Schmiedeknecht, 1883
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;icterina;Andrena icterina;Warncke, 1974
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;illyrica;Andrena illyrica;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Graecandrena ;impunctata;Andrena impunctata;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;incisa;Andrena incisa;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Andrena ;inconstans;Andrena inconstans;Morawitz, 1877
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;intermedia;Andrena intermedia;Thomson, 1870
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;isis;Andrena isis;Schmiedeknecht, 1900
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena;isolata;Andrena isolata;Wood, 2023
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Avandrena;juliae;Andrena juliae;Wood, 2023
